"101","32","807","128","96","27","6","0","32","79"
"102","55","1158","126","83","25","8","0","26","135"
"103","24","564","151","97","25","3","0","13","47"
"104","66","1426","124","102","25","7","1","57","112"
"105","11","226","134","55","22","2","0","5","23"
"106","48","439","165","82","36","2","0","23","33"
"107","100","117","82","23","8","0","0","2","11"
"108","126","340","93","31","11","0","0","5","27"
"109","31","46","102","21","6","0","0","2","4"
"110","10","6","60","5","3","0","0","0","0"
"111","27","521","129","95","27","3","0","30","40"
"112","49","724","125","65","23","1","0","29","44"
"113","10","95","179","34","11","0","0","8","8"
"114","6","55","85","44","18","0","0","1","5"
"115","159","4207","130","109","32","32","1","172","354"
"116","17","437","128","70","35","4","0","25","31"
"117","29","1079","126","100","39","11","1","44","109"
"118","25","480","158","86","34","150","0","20","46"
"119","123","2343","146","78","28","12","0","147","157"
"120","37","406","142","61","21","10","0","28","24"
"121","56","317","115","39","15","0","0","14","18"
"122","24","527","147","77","25","1","0","26","50"
"123","119","2322","117","81","21","10","0","35","497"
"124","114","2416","126","81","27","14","0","79","205"
"125","47","0","0","0","0","0","0","0","0"
"126","136","799","142","64","50","1","0","41","76"
"127","40","0","0","0","0","0","0","0","0"
"128","110","0","0","0","0","0","0","0","0"
"129","29","0","0","0","0","0","0","0","0"
"130","48","0","0","0","0","0","0","0","0"
"131","148","4133","124","93","31","35","0","58","483"
"132","103","2215","120","114","28","9","1","64","196"
"133","55","608","130","60","21","1","0","21","54"
"134","7","76","78","28","15","0","0","0","6"
"135","149","2904","145","100","29","13","1","146","239"
"136","43","498","130","66","21","2","0","15","44"
"137","129","515","113","24","12","0","0","12","59"
"138","13","46","97","19","11","0","0","1","4"
"139","149","3778","131","87","29","22","0","125","377"
"140","15","0","0","0","0","0","0","0","0"
"141","82","0","0","0","0","0","0","0","0"
"142","94","0","0","0","0","0","0","0","0"
"143","26","0","0","0","0","0","0","0","0"
"144","14","0","0","0","0","0","0","0","0"
"145","149","4418","129","113","37","30","4","159","382"
"146","101","3626","151","175","41","21","5","265","294"
"147","64","893","134","69","23","3","0","33","72"
"148","70","1112","120","77","20","5","0","18","134"
"149","80","766","126","48","20","0","0","29","59"
"150","102","2622","138","104","31","14","2","122","257"
"151","41","353","129","36","17","0","0","16","26"
"152","129","3473","148","133","38","22","3","156","287"
"153","10","205","138","75","29","1","0","8","12"
"154","38","0","0","0","0","0","0","0","0"
"155","12","0","0","0","0","0","0","0","0"
"156","56","0","0","0","0","0","0","0","0"
"157","161","4540","139","100","34","31","1","153","402"
"158","65","1603","130","88","27","13","0","59","170"
"159","106","1262","126","70","22","4","0","48","103"
"160","91","2385","135","87","28","17","0","117","245"
"161","60","527","135","46","21","0","0","23","36"
"162","138","1732","122","48","24","0","0","57","125"
"163","152","2903","125","86","24","14","0","71","286"
"164","103","2753","131","158","28","13","2","124","277"
"165","59","0","0","0","0","0","0","0","0"
"166","75","0","0","0","0","0","0","0","0"
"167","56","0","0","0","0","0","0","0","0"
"168","42","0","0","0","0","0","0","0","0"
"169","76","0","0","0","0","0","0","0","0"
"170","6","0","0","0","0","0","0","0","0"
"171","53","1295","127","73","30","8","0","38","110"
"172","111","3057","120","103","33","25","1","60","320"
"173","69","1703","131","101","37","5","1","45","150"
"174","14","391","146","93","27","2","0","17","43"
"175","12","316","142","103","31","1","1","15","22"
"176","159","3561","136","70","37","17","0","156","251"
"177","88","0","0","0","0","0","0","0","0"
"178","90","0","0","0","0","0","0","0","0"
"179","11","0","0","0","0","0","0","0","0"
"180","47","0","0","0","0","0","0","0","0"
